channel,gain_2023_nC_per_PE,gain_2019_2020_nC_per_PE,transparency_c1Mu_mean_nC_per_PE,transparency_c1Mu_std_nC_per_PE,delta_2023_minus_2019_2020_nC_per_PE,ratio_2023_over_2019_2020,frac_change_2023_vs_2019_2020,delta_2023_minus_transparency_nC_per_PE,delta_2019_2020_minus_transparency_nC_per_PE,ratio_2023_over_transparency,ratio_2019_2020_over_transparency
387,0.001528,0.001301,,,0.000227,1.1744811683320522,0.17448116833205224,,,,
388,0.001353,0.001227,,,0.00012600000000000003,1.1026894865525672,0.10268948655256725,,,,
389,0.001616,0.001201,,,0.000415,1.3455453788509575,0.34554537885095754,,,,
390,0.001268,0.001033,,,0.00023499999999999997,1.2274927395934172,0.22749273959341718,,,,
391,0.001271,0.0012,,,7.10000000000001e-05,1.0591666666666668,0.059166666666666756,,,,
392,0.001406,0.001123,,,0.00028299999999999983,1.2520035618878003,0.2520035618878004,,,,
393,0.001628,0.001505,,,0.00012300000000000006,1.0817275747508306,0.0817275747508306,,,,
394,0.001487,0.000774,,,0.0007130000000000001,1.9211886304909562,0.9211886304909562,,,,
395,0.001701,0.001154,,,0.000547,1.474003466204506,0.474003466204506,,,,
396,0.001678,0.001139,,,0.000539,1.4732221246707637,0.4732221246707638,,,,
397,0.001547,0.001195,,,0.0003519999999999999,1.2945606694560667,0.29456066945606685,,,,
398,0.001368,0.001185,,,0.000183,1.1544303797468354,0.15443037974683543,,,,
399,0.001428,0.001149,,,0.00027899999999999995,1.2428198433420365,0.2428198433420365,,,,
400,0.001328,0.001142,,,0.00018599999999999997,1.1628721541155866,0.16287215411558667,,,,
401,0.00148,0.001116,,,0.00036399999999999996,1.3261648745519712,0.3261648745519713,,,,
402,0.001311,0.000911,,,0.0004000000000000001,1.4390779363336994,0.4390779363336993,,,,
403,0.00113,0.000859,,,0.000271,1.3154831199068684,0.31548311990686845,,,,
404,0.001569,0.001343,,,0.00022600000000000007,1.1682799702159345,0.16827997021593452,,,,
405,0.000906,0.001194,,,-0.00028799999999999995,0.7587939698492463,-0.24120603015075373,,,,
406,0.001542,0.001405,,,0.00013699999999999997,1.097508896797153,0.09750889679715301,,,,
407,0.001491,0.001096,,,0.00039499999999999995,1.3604014598540146,0.36040145985401456,,,,
408,0.001396,0.001039,,,0.0003570000000000001,1.3435996150144371,0.3435996150144371,,,,
409,0.001414,0.001135,,,0.00027899999999999995,1.2458149779735683,0.24581497797356824,,,,
